pl_name,hostname,st_mass,pl_bmassj,pl_massj,pl_orbsmax,pl_orbeccen,sy_snum,sy_pnum,pl_orbper,planet_mass_jup,planet_solar_mass,star_solar_mass,ecc,sma
HAT-P-3 b,HAT-P-3,1.06,0.65,0.65,0.03866,0.0,2,1,2.8997,0.65,0.00062075,1.06,0.0,0.03866
Kepler-1065 b,Kepler-1065,0.94,0.0422,,0.0455,0.0,1,2,3.609308907,0.0422,4.0301e-05,0.94,0.0,0.0455
HD 132406 b,HD 132406,0.973,5.94,5.94,1.98,0.25,1,1,908.0,5.94,0.0056727,0.973,0.25,1.98
TOI-1260 c,TOI-1260,0.679,0.04153184,0.0415318445717157,0.0657,0.0,1,3,7.493134,0.04153184,3.96629072e-05,0.679,0.0,0.0657
HD 149143 b,HD 149143,1.2,1.33,,0.053,0.0167,1,1,4.07182,1.33,0.00127015,1.2,0.0167,0.053
HD 99492 b,HD 99492,0.85,0.08023197,,0.12,0.034,2,2,17.0503,0.08023197,7.662153135000001e-05,0.85,0.034,0.12
nu Oph c,nu Oph,2.61,24.662,24.662,5.829,0.179,1,2,3180.6,24.662,0.02355221,2.61,0.179,5.829
75 Cet b,75 Cet,1.92,2.479,,1.912,0.093,2,2,696.62,2.479,0.002367445,1.92,0.093,1.912
gam Lib b,gam Lib,1.78,1.126,,1.319,0.16,1,2,414.88,1.126,0.00107533,1.78,0.16,1.319
HD 113337 b,HD 113337,1.4,3.259,,1.022,0.28,3,2,317.58639,3.259,0.003112345,1.4,0.28,1.022
HD 28109 c,HD 28109,1.26,0.02499147,0.0249914728358438,0.308,0.1203,1,3,56.00819,0.02499147,2.386685385e-05,1.26,0.1203,0.308
HR 8799 d,HR 8799,1.5,10.0,10.0,24.0,0.6,1,4,37000.0,10.0,0.00955,1.5,0.6,24.0
TOI-6002 b,TOI-6002,0.2101,0.0106,,0.05722,0.15,1,1,10.904821,0.0106,1.0123e-05,0.2101,0.15,0.05722
HIP 12961 b,HIP 12961,0.69,0.36,,0.25,0.17,1,1,57.435,0.36,0.0003438,0.69,0.17,0.25
HD 11755 b,HD 11755,0.72,5.63,,1.09,0.19,1,1,433.70001,5.63,0.00537665,0.72,0.19,1.09
HD 29985 b,HD 29985,0.75,5.473,5.473,13.39,0.261,1,1,20608.14049,5.473,0.005226715,0.75,0.261,13.39
HD 115954 b,HD 115954,1.18,8.45,8.45,5.0,0.487,1,1,3700.0,8.45,0.008069749999999999,1.18,0.487,5.0
HIP 97233 b,HIP 97233,1.81,19.187,19.187,2.491,0.63,1,1,1062.26506,19.187,0.018323585,1.81,0.63,2.491
HD 95872 b,HD 95872,0.7,3.74,,5.15,0.06,1,1,4375.0,3.74,0.0035717,0.7,0.06,5.15
Teegarden's Star c,Teegarden's Star,0.097,0.00330367,,0.0455,0.04,1,3,11.416,0.00330367,3.15500485e-06,0.097,0.04,0.0455
TOI-1470 b,TOI-1470,0.471,0.0230313,0.0230312956261333,0.0285,0.3,1,2,2.527093,0.0230313,2.1994891500000002e-05,0.471,0.3,0.0285
